modelname,time,epoch,accuracy,loss,test_accuracy,test_loss
conv-32-64-128-lin-512-2-model-1588012303,1588012303.936,0,0.54,0.2487,0.47,0.259
conv-32-64-128-lin-512-2-model-1588012303,1588012304.111,0,0.5,0.2502,0.38,0.2539
conv-32-64-128-lin-512-2-model-1588012303,1588012304.271,0,0.57,0.2497,0.56,0.2488
conv-32-64-128-lin-512-2-model-1588012303,1588012304.429,0,0.43,0.2518,0.53,0.2491
conv-32-64-128-lin-512-2-model-1588012303,1588012304.587,0,0.46,0.2492,0.66,0.2456
conv-32-64-128-lin-512-2-model-1588012303,1588012304.749,0,0.47,0.2497,0.62,0.2341
conv-32-64-128-lin-512-2-model-1588012303,1588012304.907,0,0.55,0.2468,0.69,0.2449
conv-32-64-128-lin-512-2-model-1588012303,1588012305.066,0,0.47,0.2488,0.59,0.2264
conv-32-64-128-lin-512-2-model-1588012303,1588012305.223,0,0.4,0.2584,0.47,0.2496
conv-32-64-128-lin-512-2-model-1588012303,1588012305.383,0,0.56,0.2479,0.41,0.2526
conv-32-64-128-lin-512-2-model-1588012303,1588012305.542,0,0.48,0.2505,0.53,0.2483
conv-32-64-128-lin-512-2-model-1588012303,1588012305.699,0,0.52,0.2494,0.53,0.2485
conv-32-64-128-lin-512-2-model-1588012303,1588012305.856,0,0.57,0.2473,0.59,0.2466
conv-32-64-128-lin-512-2-model-1588012303,1588012306.014,0,0.52,0.2498,0.47,0.2449
conv-32-64-128-lin-512-2-model-1588012303,1588012306.175,0,0.48,0.2578,0.56,0.2427
conv-32-64-128-lin-512-2-model-1588012303,1588012306.335,0,0.55,0.2444,0.62,0.2565
conv-32-64-128-lin-512-2-model-1588012303,1588012306.491,0,0.46,0.2417,0.59,0.2496
conv-32-64-128-lin-512-2-model-1588012303,1588012306.65,0,0.61,0.2346,0.56,0.244
conv-32-64-128-lin-512-2-model-1588012303,1588012306.807,0,0.64,0.232,0.53,0.2208
conv-32-64-128-lin-512-2-model-1588012303,1588012306.963,0,0.55,0.2587,0.47,0.2542
conv-32-64-128-lin-512-2-model-1588012303,1588012307.122,0,0.62,0.2368,0.47,0.2964
conv-32-64-128-lin-512-2-model-1588012303,1588012307.281,0,0.54,0.2415,0.72,0.2273
conv-32-64-128-lin-512-2-model-1588012303,1588012307.437,0,0.55,0.2458,0.5,0.257
conv-32-64-128-lin-512-2-model-1588012303,1588012307.594,0,0.62,0.2396,0.62,0.236
conv-32-64-128-lin-512-2-model-1588012303,1588012307.751,0,0.67,0.2366,0.56,0.2447
conv-32-64-128-lin-512-2-model-1588012303,1588012307.91,0,0.59,0.2364,0.66,0.2308
conv-32-64-128-lin-512-2-model-1588012303,1588012308.067,0,0.63,0.2496,0.66,0.222
conv-32-64-128-lin-512-2-model-1588012303,1588012308.223,0,0.62,0.2448,0.5,0.2581
conv-32-64-128-lin-512-2-model-1588012303,1588012308.38,0,0.57,0.2487,0.66,0.216
conv-32-64-128-lin-512-2-model-1588012303,1588012308.541,0,0.59,0.2371,0.62,0.2369
conv-32-64-128-lin-512-2-model-1588012303,1588012308.701,0,0.55,0.249,0.41,0.2459
conv-32-64-128-lin-512-2-model-1588012303,1588012308.859,0,0.65,0.2352,0.62,0.2307
conv-32-64-128-lin-512-2-model-1588012303,1588012309.019,0,0.61,0.2263,0.69,0.2107
conv-32-64-128-lin-512-2-model-1588012303,1588012309.178,0,0.51,0.2485,0.56,0.2551
conv-32-64-128-lin-512-2-model-1588012303,1588012309.335,0,0.52,0.243,0.72,0.2075
conv-32-64-128-lin-512-2-model-1588012303,1588012309.493,0,0.61,0.2294,0.53,0.2359
conv-32-64-128-lin-512-2-model-1588012303,1588012309.651,0,0.62,0.2357,0.59,0.2345
conv-32-64-128-lin-512-2-model-1588012303,1588012309.811,0,0.65,0.2242,0.56,0.2307
conv-32-64-128-lin-512-2-model-1588012303,1588012309.97,0,0.6,0.2374,0.59,0.2373
conv-32-64-128-lin-512-2-model-1588012303,1588012310.126,0,0.59,0.2351,0.69,0.2292
conv-32-64-128-lin-512-2-model-1588012303,1588012310.286,0,0.58,0.2344,0.56,0.2398
conv-32-64-128-lin-512-2-model-1588012303,1588012310.445,0,0.71,0.2231,0.47,0.2724
conv-32-64-128-lin-512-2-model-1588012303,1588012310.603,0,0.59,0.2364,0.78,0.202
conv-32-64-128-lin-512-2-model-1588012303,1588012310.759,0,0.67,0.2139,0.72,0.2281
conv-32-64-128-lin-512-2-model-1588012303,1588012310.918,0,0.59,0.2332,0.69,0.2047
conv-32-64-128-lin-512-2-model-1588012303,1588012311.07,1,0.68,0.2165,0.59,0.2261
conv-32-64-128-lin-512-2-model-1588012303,1588012311.232,1,0.55,0.2412,0.72,0.2031
conv-32-64-128-lin-512-2-model-1588012303,1588012311.39,1,0.64,0.2294,0.69,0.2083
conv-32-64-128-lin-512-2-model-1588012303,1588012311.55,1,0.64,0.2301,0.62,0.2158
conv-32-64-128-lin-512-2-model-1588012303,1588012311.707,1,0.66,0.2227,0.56,0.2683
conv-32-64-128-lin-512-2-model-1588012303,1588012311.872,1,0.59,0.2359,0.44,0.2644
conv-32-64-128-lin-512-2-model-1588012303,1588012312.034,1,0.63,0.2168,0.53,0.269
conv-32-64-128-lin-512-2-model-1588012303,1588012312.195,1,0.67,0.2134,0.56,0.2444
conv-32-64-128-lin-512-2-model-1588012303,1588012312.355,1,0.54,0.2532,0.66,0.2218
conv-32-64-128-lin-512-2-model-1588012303,1588012312.513,1,0.66,0.2238,0.72,0.1805
conv-32-64-128-lin-512-2-model-1588012303,1588012312.67,1,0.65,0.2183,0.62,0.2381
conv-32-64-128-lin-512-2-model-1588012303,1588012312.828,1,0.54,0.2485,0.66,0.2234
conv-32-64-128-lin-512-2-model-1588012303,1588012312.986,1,0.68,0.2111,0.72,0.2007
conv-32-64-128-lin-512-2-model-1588012303,1588012313.146,1,0.59,0.2459,0.53,0.2568
conv-32-64-128-lin-512-2-model-1588012303,1588012313.303,1,0.6,0.2346,0.62,0.2202
conv-32-64-128-lin-512-2-model-1588012303,1588012313.466,1,0.57,0.2388,0.59,0.2533
conv-32-64-128-lin-512-2-model-1588012303,1588012313.625,1,0.66,0.232,0.69,0.2143
conv-32-64-128-lin-512-2-model-1588012303,1588012313.787,1,0.65,0.201,0.56,0.2419
conv-32-64-128-lin-512-2-model-1588012303,1588012313.943,1,0.62,0.2284,0.59,0.2403
conv-32-64-128-lin-512-2-model-1588012303,1588012314.102,1,0.57,0.255,0.62,0.2138
conv-32-64-128-lin-512-2-model-1588012303,1588012314.259,1,0.72,0.2109,0.5,0.2627
conv-32-64-128-lin-512-2-model-1588012303,1588012314.418,1,0.72,0.2055,0.47,0.2745
conv-32-64-128-lin-512-2-model-1588012303,1588012314.578,1,0.68,0.2209,0.56,0.2385
conv-32-64-128-lin-512-2-model-1588012303,1588012314.737,1,0.58,0.2352,0.84,0.1423
conv-32-64-128-lin-512-2-model-1588012303,1588012314.893,1,0.67,0.2158,0.69,0.201
conv-32-64-128-lin-512-2-model-1588012303,1588012315.051,1,0.67,0.2112,0.72,0.1972
conv-32-64-128-lin-512-2-model-1588012303,1588012315.208,1,0.67,0.1911,0.5,0.2945
conv-32-64-128-lin-512-2-model-1588012303,1588012315.365,1,0.66,0.2053,0.69,0.214
conv-32-64-128-lin-512-2-model-1588012303,1588012315.524,1,0.66,0.2236,0.62,0.2177
conv-32-64-128-lin-512-2-model-1588012303,1588012315.688,1,0.7,0.1963,0.56,0.2751
conv-32-64-128-lin-512-2-model-1588012303,1588012315.846,1,0.71,0.1824,0.47,0.2821
conv-32-64-128-lin-512-2-model-1588012303,1588012316.003,1,0.7,0.1969,0.56,0.2796
conv-32-64-128-lin-512-2-model-1588012303,1588012316.16,1,0.77,0.181,0.69,0.2201
conv-32-64-128-lin-512-2-model-1588012303,1588012316.32,1,0.63,0.2163,0.72,0.1856
conv-32-64-128-lin-512-2-model-1588012303,1588012316.482,1,0.62,0.2182,0.78,0.1789
conv-32-64-128-lin-512-2-model-1588012303,1588012316.649,1,0.62,0.23,0.72,0.1723
conv-32-64-128-lin-512-2-model-1588012303,1588012316.825,1,0.62,0.2328,0.66,0.2182
conv-32-64-128-lin-512-2-model-1588012303,1588012316.996,1,0.64,0.2015,0.69,0.2063
conv-32-64-128-lin-512-2-model-1588012303,1588012317.168,1,0.77,0.1705,0.56,0.2486
conv-32-64-128-lin-512-2-model-1588012303,1588012317.331,1,0.7,0.1969,0.56,0.2384
conv-32-64-128-lin-512-2-model-1588012303,1588012317.495,1,0.7,0.1915,0.75,0.1773
conv-32-64-128-lin-512-2-model-1588012303,1588012317.655,1,0.73,0.1989,0.69,0.1835
conv-32-64-128-lin-512-2-model-1588012303,1588012317.813,1,0.65,0.2264,0.62,0.2428
conv-32-64-128-lin-512-2-model-1588012303,1588012317.969,1,0.69,0.1957,0.62,0.224
conv-32-64-128-lin-512-2-model-1588012303,1588012318.126,1,0.64,0.2214,0.56,0.2733
