modelname,time,epoch,accuracy,loss,test_accuracy,test_loss
conv-32-64-128-lin-512-2-model-1588009585,1588009652.84,9,0.86,0.107,0.78,0.1404
conv-32-64-128-lin-512-2-model-1588009585,1588009653.002,9,0.91,0.0672,0.75,0.1571
conv-32-64-128-lin-512-2-model-1588009585,1588009653.164,9,0.88,0.085,0.78,0.1787
conv-32-64-128-lin-512-2-model-1588009585,1588009653.325,9,0.87,0.0943,0.62,0.2766
conv-32-64-128-lin-512-2-model-1588009585,1588009653.485,9,0.96,0.0447,0.81,0.1262
conv-32-64-128-lin-512-2-model-1588009585,1588009653.648,9,0.93,0.0603,0.78,0.1752
conv-32-64-128-lin-512-2-model-1588009585,1588009653.813,9,0.91,0.0812,0.81,0.1441
conv-32-64-128-lin-512-2-model-1588009585,1588009653.975,9,0.91,0.0681,0.56,0.3197
conv-32-64-128-lin-512-2-model-1588009585,1588009654.136,9,0.88,0.0946,0.78,0.1931
conv-32-64-128-lin-512-2-model-1588009585,1588009654.297,9,0.86,0.0965,0.72,0.2138
conv-32-64-128-lin-512-2-model-1588009585,1588009654.459,9,0.85,0.1097,0.72,0.1899
conv-32-64-128-lin-512-2-model-1588009585,1588009654.62,9,0.88,0.0842,0.78,0.176
conv-32-64-128-lin-512-2-model-1588009585,1588009654.782,9,0.8,0.1457,0.59,0.3004
conv-32-64-128-lin-512-2-model-1588009585,1588009654.944,9,0.89,0.0836,0.72,0.2158
conv-32-64-128-lin-512-2-model-1588009585,1588009655.108,9,0.86,0.1092,0.72,0.1949
conv-32-64-128-lin-512-2-model-1588009585,1588009655.271,9,0.93,0.0634,0.69,0.2203
conv-32-64-128-lin-512-2-model-1588009585,1588009655.435,9,0.92,0.0731,0.75,0.2006
conv-32-64-128-lin-512-2-model-1588009585,1588009655.597,9,0.87,0.09,0.84,0.0917
conv-32-64-128-lin-512-2-model-1588009585,1588009655.76,9,0.86,0.1036,0.75,0.1883
conv-32-64-128-lin-512-2-model-1588009585,1588009655.921,9,0.88,0.103,0.72,0.1936
conv-32-64-128-lin-512-2-model-1588009585,1588009656.083,9,0.83,0.1216,0.78,0.1811
conv-32-64-128-lin-512-2-model-1588009585,1588009656.244,9,0.87,0.0996,0.84,0.141
conv-32-64-128-lin-512-2-model-1588009585,1588009656.408,9,0.89,0.0769,0.78,0.1763
conv-32-64-128-lin-512-2-model-1588009585,1588009656.57,9,0.89,0.0975,0.84,0.1299
conv-32-64-128-lin-512-2-model-1588009585,1588009656.731,9,0.89,0.0704,0.84,0.1304
conv-32-64-128-lin-512-2-model-1588009585,1588009656.891,9,0.91,0.0793,0.84,0.1222
conv-32-64-128-lin-512-2-model-1588009585,1588009657.053,9,0.95,0.0558,0.59,0.3111
conv-32-64-128-lin-512-2-model-1588009585,1588009657.215,9,0.89,0.0803,0.66,0.3091
conv-32-64-128-lin-512-2-model-1588009585,1588009657.378,9,0.92,0.0568,0.84,0.1402
conv-32-64-128-lin-512-2-model-1588009585,1588009657.54,9,0.88,0.0913,0.75,0.1929
conv-32-64-128-lin-512-2-model-1588009585,1588009657.705,9,0.91,0.0714,0.72,0.186
conv-32-64-128-lin-512-2-model-1588009585,1588009657.867,9,0.94,0.0536,0.81,0.1408
conv-32-64-128-lin-512-2-model-1588009585,1588009658.027,9,0.83,0.117,0.75,0.1908
conv-32-64-128-lin-512-2-model-1588009585,1588009658.188,9,0.93,0.0592,0.69,0.2302
conv-32-64-128-lin-512-2-model-1588009585,1588009658.351,9,0.96,0.0455,0.66,0.2448
conv-32-64-128-lin-512-2-model-1588009585,1588009658.513,9,0.94,0.0517,0.69,0.2259
conv-32-64-128-lin-512-2-model-1588009585,1588009658.676,9,0.91,0.075,0.81,0.1287
conv-32-64-128-lin-512-2-model-1588009585,1588009658.838,9,0.9,0.0708,0.78,0.1244
