modelname,time,accuracy,loss,test_accuracy,test_loss
conv-32-64-128-lin-512-2-model-1588007945,1588007955.933,0.67,0.2193,0.59,0.2283
conv-32-64-128-lin-512-2-model-1588007945,1588007956.09,0.69,0.1919,0.81,0.1712
conv-32-64-128-lin-512-2-model-1588007945,1588007956.248,0.71,0.1969,0.66,0.2083
conv-32-64-128-lin-512-2-model-1588007945,1588007956.407,0.68,0.2078,0.53,0.2685
conv-32-64-128-lin-512-2-model-1588007945,1588007956.579,0.6,0.2527,0.75,0.1803
conv-32-64-128-lin-512-2-model-1588007945,1588007956.738,0.72,0.2051,0.5,0.2553
conv-32-64-128-lin-512-2-model-1588007945,1588007956.892,0.7,0.2086,0.66,0.2279
conv-32-64-128-lin-512-2-model-1588007945,1588007957.049,0.65,0.2157,0.66,0.2033
conv-32-64-128-lin-512-2-model-1588007945,1588007957.205,0.68,0.2108,0.78,0.1963
conv-32-64-128-lin-512-2-model-1588007945,1588007957.362,0.69,0.2131,0.72,0.2027
conv-32-64-128-lin-512-2-model-1588007945,1588007957.518,0.73,0.197,0.62,0.2359
conv-32-64-128-lin-512-2-model-1588007945,1588007957.674,0.66,0.2129,0.75,0.2135
conv-32-64-128-lin-512-2-model-1588007945,1588007957.83,0.7,0.1987,0.78,0.1705
conv-32-64-128-lin-512-2-model-1588007945,1588007957.986,0.59,0.2356,0.56,0.2437
conv-32-64-128-lin-512-2-model-1588007945,1588007958.142,0.73,0.1823,0.81,0.1735
conv-32-64-128-lin-512-2-model-1588007945,1588007958.297,0.72,0.2,0.66,0.2174
conv-32-64-128-lin-512-2-model-1588007945,1588007958.452,0.73,0.1875,0.81,0.1342
conv-32-64-128-lin-512-2-model-1588007945,1588007958.61,0.71,0.1999,0.78,0.1839
conv-32-64-128-lin-512-2-model-1588007945,1588007958.765,0.65,0.228,0.62,0.215
conv-32-64-128-lin-512-2-model-1588007945,1588007958.92,0.69,0.2144,0.56,0.2502
conv-32-64-128-lin-512-2-model-1588007945,1588007959.074,0.68,0.1961,0.75,0.1776
conv-32-64-128-lin-512-2-model-1588007945,1588007959.231,0.69,0.2022,0.66,0.2325
conv-32-64-128-lin-512-2-model-1588007945,1588007959.386,0.69,0.2164,0.81,0.1726
conv-32-64-128-lin-512-2-model-1588007945,1588007959.541,0.71,0.1868,0.69,0.1724
conv-32-64-128-lin-512-2-model-1588007945,1588007959.678,0.61,0.2511,0.69,0.2078
conv-32-64-128-lin-512-2-model-1588007945,1588007959.834,0.63,0.232,0.72,0.1962
conv-32-64-128-lin-512-2-model-1588007945,1588007959.988,0.68,0.198,0.75,0.1583
conv-32-64-128-lin-512-2-model-1588007945,1588007960.147,0.81,0.151,0.62,0.2076
conv-32-64-128-lin-512-2-model-1588007945,1588007960.302,0.67,0.215,0.62,0.2422
conv-32-64-128-lin-512-2-model-1588007945,1588007960.458,0.76,0.1751,0.84,0.1342
conv-32-64-128-lin-512-2-model-1588007945,1588007960.614,0.73,0.1742,0.59,0.2071
conv-32-64-128-lin-512-2-model-1588007945,1588007960.771,0.71,0.1835,0.62,0.2389
conv-32-64-128-lin-512-2-model-1588007945,1588007960.926,0.72,0.1859,0.78,0.1432
conv-32-64-128-lin-512-2-model-1588007945,1588007961.081,0.72,0.1931,0.81,0.1672
conv-32-64-128-lin-512-2-model-1588007945,1588007961.238,0.7,0.2067,0.88,0.1343
conv-32-64-128-lin-512-2-model-1588007945,1588007961.393,0.75,0.1784,0.72,0.1942
conv-32-64-128-lin-512-2-model-1588007945,1588007961.56,0.77,0.1795,0.69,0.228
conv-32-64-128-lin-512-2-model-1588007945,1588007961.716,0.73,0.1798,0.62,0.2197
conv-32-64-128-lin-512-2-model-1588007945,1588007961.873,0.71,0.2039,0.75,0.1897
conv-32-64-128-lin-512-2-model-1588007945,1588007962.027,0.77,0.1667,0.62,0.2433
conv-32-64-128-lin-512-2-model-1588007945,1588007962.183,0.67,0.1932,0.72,0.1972
conv-32-64-128-lin-512-2-model-1588007945,1588007962.338,0.69,0.1944,0.78,0.1498
conv-32-64-128-lin-512-2-model-1588007945,1588007962.495,0.79,0.1652,0.66,0.2257
conv-32-64-128-lin-512-2-model-1588007945,1588007962.653,0.67,0.1942,0.75,0.151
conv-32-64-128-lin-512-2-model-1588007945,1588007962.808,0.67,0.2093,0.72,0.1985
conv-32-64-128-lin-512-2-model-1588007945,1588007962.973,0.72,0.1988,0.78,0.1712
conv-32-64-128-lin-512-2-model-1588007945,1588007963.146,0.82,0.1521,0.78,0.1574
conv-32-64-128-lin-512-2-model-1588007945,1588007963.302,0.76,0.1592,0.72,0.2323
conv-32-64-128-lin-512-2-model-1588007945,1588007963.459,0.71,0.1788,0.69,0.2152
conv-32-64-128-lin-512-2-model-1588007945,1588007963.615,0.66,0.2117,0.88,0.1034
conv-32-64-128-lin-512-2-model-1588007945,1588007963.772,0.77,0.1795,0.53,0.2676
conv-32-64-128-lin-512-2-model-1588007945,1588007963.926,0.72,0.1859,0.84,0.1183
conv-32-64-128-lin-512-2-model-1588007945,1588007964.082,0.62,0.2379,0.75,0.1588
conv-32-64-128-lin-512-2-model-1588007945,1588007964.237,0.75,0.1565,0.84,0.1292
conv-32-64-128-lin-512-2-model-1588007945,1588007964.393,0.71,0.2014,0.75,0.1646
conv-32-64-128-lin-512-2-model-1588007945,1588007964.549,0.79,0.1839,0.75,0.1698
conv-32-64-128-lin-512-2-model-1588007945,1588007964.704,0.68,0.1969,0.59,0.2243
conv-32-64-128-lin-512-2-model-1588007945,1588007964.86,0.71,0.1658,0.78,0.1364
conv-32-64-128-lin-512-2-model-1588007945,1588007965.017,0.65,0.2063,0.78,0.1495
conv-32-64-128-lin-512-2-model-1588007945,1588007965.173,0.8,0.1522,0.75,0.1817
conv-32-64-128-lin-512-2-model-1588007945,1588007965.328,0.76,0.1674,0.59,0.2021
conv-32-64-128-lin-512-2-model-1588007945,1588007965.483,0.73,0.163,0.69,0.2191
conv-32-64-128-lin-512-2-model-1588007945,1588007965.641,0.77,0.1669,0.88,0.1106
conv-32-64-128-lin-512-2-model-1588007945,1588007965.798,0.66,0.2149,0.81,0.1487
conv-32-64-128-lin-512-2-model-1588007945,1588007965.953,0.77,0.158,0.81,0.1492
conv-32-64-128-lin-512-2-model-1588007945,1588007966.108,0.78,0.1665,0.81,0.1557
conv-32-64-128-lin-512-2-model-1588007945,1588007966.265,0.76,0.1596,0.72,0.2017
conv-32-64-128-lin-512-2-model-1588007945,1588007966.42,0.77,0.1675,0.69,0.187
conv-32-64-128-lin-512-2-model-1588007945,1588007966.576,0.77,0.1475,0.81,0.1468
conv-32-64-128-lin-512-2-model-1588007945,1588007966.712,0.63,0.2225,0.69,0.2466
conv-32-64-128-lin-512-2-model-1588007945,1588007966.868,0.68,0.2025,0.78,0.1872
conv-32-64-128-lin-512-2-model-1588007945,1588007967.023,0.74,0.1758,0.78,0.1615
conv-32-64-128-lin-512-2-model-1588007945,1588007967.179,0.85,0.1289,0.78,0.1769
conv-32-64-128-lin-512-2-model-1588007945,1588007967.335,0.68,0.2018,0.62,0.2287
conv-32-64-128-lin-512-2-model-1588007945,1588007967.49,0.78,0.1589,0.81,0.1627
conv-32-64-128-lin-512-2-model-1588007945,1588007967.652,0.72,0.1637,0.78,0.136
conv-32-64-128-lin-512-2-model-1588007945,1588007967.827,0.75,0.1677,0.72,0.229
conv-32-64-128-lin-512-2-model-1588007945,1588007967.986,0.8,0.1445,0.84,0.1528
conv-32-64-128-lin-512-2-model-1588007945,1588007968.144,0.74,0.1821,0.88,0.0974
conv-32-64-128-lin-512-2-model-1588007945,1588007968.301,0.76,0.1633,0.72,0.1754
conv-32-64-128-lin-512-2-model-1588007945,1588007968.46,0.8,0.159,0.84,0.1168
conv-32-64-128-lin-512-2-model-1588007945,1588007968.618,0.85,0.1478,0.78,0.1537
conv-32-64-128-lin-512-2-model-1588007945,1588007968.774,0.77,0.155,0.78,0.133
conv-32-64-128-lin-512-2-model-1588007945,1588007968.93,0.7,0.1788,0.81,0.1566
conv-32-64-128-lin-512-2-model-1588007945,1588007969.085,0.76,0.1538,0.66,0.2285
conv-32-64-128-lin-512-2-model-1588007945,1588007969.239,0.81,0.1353,0.62,0.2443
conv-32-64-128-lin-512-2-model-1588007945,1588007969.396,0.76,0.1617,0.72,0.1691
conv-32-64-128-lin-512-2-model-1588007945,1588007969.552,0.78,0.1565,0.66,0.237
conv-32-64-128-lin-512-2-model-1588007945,1588007969.723,0.78,0.1776,0.81,0.1832
conv-32-64-128-lin-512-2-model-1588007945,1588007969.887,0.76,0.1657,0.75,0.1769
conv-32-64-128-lin-512-2-model-1588007945,1588007970.044,0.75,0.1823,0.75,0.1896
conv-32-64-128-lin-512-2-model-1588007945,1588007970.202,0.88,0.1228,0.72,0.1915
conv-32-64-128-lin-512-2-model-1588007945,1588007970.361,0.79,0.1435,0.59,0.2585
conv-32-64-128-lin-512-2-model-1588007945,1588007970.531,0.84,0.1349,0.88,0.1465
conv-32-64-128-lin-512-2-model-1588007945,1588007970.705,0.71,0.1995,0.84,0.1246
conv-32-64-128-lin-512-2-model-1588007945,1588007970.869,0.78,0.1684,0.72,0.1789
conv-32-64-128-lin-512-2-model-1588007945,1588007971.034,0.75,0.1718,0.75,0.202
conv-32-64-128-lin-512-2-model-1588007945,1588007971.201,0.73,0.1981,0.81,0.1766
conv-32-64-128-lin-512-2-model-1588007945,1588007971.36,0.74,0.1696,0.78,0.1116
conv-32-64-128-lin-512-2-model-1588007945,1588007971.528,0.74,0.1822,0.75,0.1772
conv-32-64-128-lin-512-2-model-1588007945,1588007971.706,0.76,0.1656,0.84,0.1457
conv-32-64-128-lin-512-2-model-1588007945,1588007971.876,0.73,0.1793,0.78,0.1668
conv-32-64-128-lin-512-2-model-1588007945,1588007972.046,0.76,0.1512,0.66,0.2181
conv-32-64-128-lin-512-2-model-1588007945,1588007972.21,0.72,0.167,0.78,0.1505
conv-32-64-128-lin-512-2-model-1588007945,1588007972.366,0.81,0.1331,0.75,0.1644
conv-32-64-128-lin-512-2-model-1588007945,1588007972.522,0.78,0.1567,0.69,0.1852
conv-32-64-128-lin-512-2-model-1588007945,1588007972.682,0.79,0.1424,0.84,0.129
conv-32-64-128-lin-512-2-model-1588007945,1588007972.854,0.83,0.1431,0.78,0.1763
conv-32-64-128-lin-512-2-model-1588007945,1588007973.011,0.69,0.2018,0.97,0.0856
conv-32-64-128-lin-512-2-model-1588007945,1588007973.168,0.8,0.1416,0.81,0.1291
conv-32-64-128-lin-512-2-model-1588007945,1588007973.323,0.79,0.1504,0.88,0.1224
conv-32-64-128-lin-512-2-model-1588007945,1588007973.481,0.83,0.1244,0.84,0.1022
conv-32-64-128-lin-512-2-model-1588007945,1588007973.642,0.8,0.145,0.62,0.2411
conv-32-64-128-lin-512-2-model-1588007945,1588007973.798,0.82,0.1196,0.72,0.1872
conv-32-64-128-lin-512-2-model-1588007945,1588007973.935,0.72,0.186,0.88,0.1001
conv-32-64-128-lin-512-2-model-1588007945,1588007974.091,0.76,0.1681,0.75,0.1761
conv-32-64-128-lin-512-2-model-1588007945,1588007974.247,0.79,0.1469,0.78,0.1363
conv-32-64-128-lin-512-2-model-1588007945,1588007974.404,0.86,0.1157,0.69,0.2048
conv-32-64-128-lin-512-2-model-1588007945,1588007974.559,0.75,0.1748,0.69,0.176
conv-32-64-128-lin-512-2-model-1588007945,1588007974.714,0.81,0.1411,0.94,0.0728
conv-32-64-128-lin-512-2-model-1588007945,1588007974.871,0.79,0.1407,0.78,0.1423
conv-32-64-128-lin-512-2-model-1588007945,1588007975.026,0.82,0.1315,0.75,0.1811
conv-32-64-128-lin-512-2-model-1588007945,1588007975.181,0.86,0.1238,0.66,0.1947
conv-32-64-128-lin-512-2-model-1588007945,1588007975.338,0.81,0.1483,0.78,0.1051
conv-32-64-128-lin-512-2-model-1588007945,1588007975.495,0.77,0.1543,0.69,0.1587
conv-32-64-128-lin-512-2-model-1588007945,1588007975.652,0.85,0.1346,0.91,0.099
conv-32-64-128-lin-512-2-model-1588007945,1588007975.807,0.83,0.1366,0.78,0.1284
conv-32-64-128-lin-512-2-model-1588007945,1588007975.961,0.81,0.1316,0.84,0.1101
conv-32-64-128-lin-512-2-model-1588007945,1588007976.119,0.76,0.1502,0.88,0.1059
conv-32-64-128-lin-512-2-model-1588007945,1588007976.273,0.78,0.1473,0.75,0.1806
conv-32-64-128-lin-512-2-model-1588007945,1588007976.431,0.8,0.139,0.69,0.191
conv-32-64-128-lin-512-2-model-1588007945,1588007976.587,0.77,0.1503,0.84,0.1147
conv-32-64-128-lin-512-2-model-1588007945,1588007976.759,0.8,0.1461,0.69,0.1985
conv-32-64-128-lin-512-2-model-1588007945,1588007976.922,0.79,0.1605,0.62,0.1929
conv-32-64-128-lin-512-2-model-1588007945,1588007977.082,0.79,0.1454,0.75,0.177
conv-32-64-128-lin-512-2-model-1588007945,1588007977.241,0.82,0.1569,0.88,0.1247
conv-32-64-128-lin-512-2-model-1588007945,1588007977.397,0.86,0.1194,0.62,0.2298
conv-32-64-128-lin-512-2-model-1588007945,1588007977.552,0.84,0.1121,0.75,0.1934
conv-32-64-128-lin-512-2-model-1588007945,1588007977.707,0.84,0.1278,0.75,0.1399
conv-32-64-128-lin-512-2-model-1588007945,1588007977.862,0.74,0.1777,0.88,0.0963
conv-32-64-128-lin-512-2-model-1588007945,1588007978.019,0.75,0.1671,0.75,0.1556
conv-32-64-128-lin-512-2-model-1588007945,1588007978.174,0.75,0.165,0.69,0.2199
conv-32-64-128-lin-512-2-model-1588007945,1588007978.329,0.77,0.1653,0.78,0.1728
conv-32-64-128-lin-512-2-model-1588007945,1588007978.484,0.72,0.1746,0.81,0.1573
conv-32-64-128-lin-512-2-model-1588007945,1588007978.641,0.75,0.1709,0.62,0.2262
conv-32-64-128-lin-512-2-model-1588007945,1588007978.796,0.83,0.1471,0.78,0.1439
conv-32-64-128-lin-512-2-model-1588007945,1588007978.952,0.76,0.1597,0.84,0.148
conv-32-64-128-lin-512-2-model-1588007945,1588007979.107,0.81,0.1248,0.69,0.1848
conv-32-64-128-lin-512-2-model-1588007945,1588007979.263,0.76,0.1699,0.78,0.1418
conv-32-64-128-lin-512-2-model-1588007945,1588007979.419,0.82,0.1155,0.75,0.1329
conv-32-64-128-lin-512-2-model-1588007945,1588007979.573,0.81,0.1338,0.88,0.1006
conv-32-64-128-lin-512-2-model-1588007945,1588007979.729,0.86,0.1173,0.84,0.1444
conv-32-64-128-lin-512-2-model-1588007945,1588007979.887,0.82,0.1288,0.78,0.1639
conv-32-64-128-lin-512-2-model-1588007945,1588007980.041,0.73,0.1806,0.81,0.1544
conv-32-64-128-lin-512-2-model-1588007945,1588007980.2,0.82,0.1231,0.69,0.1854
conv-32-64-128-lin-512-2-model-1588007945,1588007980.355,0.77,0.1471,0.66,0.2167
conv-32-64-128-lin-512-2-model-1588007945,1588007980.513,0.85,0.1044,0.75,0.1495
conv-32-64-128-lin-512-2-model-1588007945,1588007980.668,0.82,0.1291,0.88,0.1285
conv-32-64-128-lin-512-2-model-1588007945,1588007980.824,0.86,0.1108,0.84,0.113
